,Latitude,Logitude,VWC
0,896711.2387,4645758.153,-0.077534854064225
1,896720.638,4645758.153,-0.07660497178218928
2,896730.0373,4645758.153,-0.07364483893753732
3,896739.4365,4645758.153,-0.070615374491097
4,896748.8358,4645758.153,-0.06945345188602486
5,896316.4697,4645748.753,-0.0789254503658629
6,896325.869,4645748.753,-0.0382429854731301
7,896335.2682,4645748.753,-0.07940675722292356
8,896344.6675,4645748.753,-0.08324998800844963
9,896673.6417,4645748.753,-0.0761908387622297
10,896683.0409,4645748.753,-0.0773798002898054
11,896692.4402,4645748.753,-0.0773638885709168
12,896701.8395,4645748.753,-0.05996615181186543
13,896711.2387,4645748.753,-0.06366855106140945
14,896720.638,4645748.753,-0.0634778954812536
15,896730.0373,4645748.753,-0.055891203179997406
16,896739.4365,4645748.753,-0.06584329372357128
17,896748.8358,4645748.753,-0.03985103332617923
18,896758.235,4645748.753,-0.06859342550487091
19,896241.2756,4645739.354,-0.08490334420165985
20,896250.6749,4645739.354,-0.03916182973961352
21,896260.0741,4645739.354,-0.05394367600377592
22,896269.4734,4645739.354,-0.0641407256604184
23,896278.8727,4645739.354,-0.02898573091349932
24,896288.2719,4645739.354,-0.02313862643134229
25,896297.6712,4645739.354,-0.050832406211579306
26,896307.0705,4645739.354,-0.07656060086443828
27,896316.4697,4645739.354,-0.041652366081083414
28,896325.869,4645739.354,-0.05971826387562218
29,896335.2682,4645739.354,-0.07950091814089416
30,896344.6675,4645739.354,-0.08056174881351102
31,896354.0668,4645739.354,-0.06239487037822
32,896363.466,4645739.354,-0.08027785796695391
33,896372.8653,4645739.354,-0.04801691019817128
34,896382.2646,4645739.354,-0.07845571526762724
35,896654.8432,4645739.354,-0.07613315098488899
36,896664.2424,4645739.354,-0.05993437130642559
37,896673.6417,4645739.354,-0.05922111963158172
38,896683.0409,4645739.354,-0.07017592081865448
39,896692.4402,4645739.354,-0.0670801257717305
40,896701.8395,4645739.354,-0.06184406764495093
41,896711.2387,4645739.354,-0.05982969933047777
42,896720.638,4645739.354,-0.0751500137705226
43,896730.0373,4645739.354,-0.0575849818796863
44,896739.4365,4645739.354,-0.06918845874244911
45,896748.8358,4645739.354,-0.0527383255561088
46,896758.235,4645739.354,-0.06620140571928329
47,896767.6343,4645739.354,-0.0657845879683579
48,896222.4771,4645729.955,-0.0845571263927214
49,896231.8764,4645729.955,-0.042715089586877586
50,896241.2756,4645729.955,0.0409152889932779
51,896250.6749,4645729.955,-0.05960898076126919
52,896260.0741,4645729.955,-0.05582472512046871
53,896269.4734,4645729.955,-0.014250386229334833
54,896278.8727,4645729.955,-0.02026868731213699
55,896288.2719,4645729.955,0.025531702500383002
56,896297.6712,4645729.955,-0.05801088806064969
57,896307.0705,4645729.955,-0.05682012742413112
58,896316.4697,4645729.955,-0.0387696064731442
59,896325.869,4645729.955,-0.056570341865721574
60,896335.2682,4645729.955,-0.0729861875208152
61,896344.6675,4645729.955,-0.04497032844533788
62,896354.0668,4645729.955,-0.07456457573308056
63,896363.466,4645729.955,-0.07639052185340339
64,896372.8653,4645729.955,-0.07587406695507548
65,896382.2646,4645729.955,-0.061651786972917066
66,896391.6638,4645729.955,-0.0756853837579145
67,896401.0631,4645729.955,-0.07569240408680328
68,896466.8579,4645729.955,-0.08270432495010299
69,896476.2572,4645729.955,-0.0835448814656144
70,896636.0446,4645729.955,-0.07825977010046281
71,896645.4439,4645729.955,-0.0755344786870985
72,896654.8432,4645729.955,-0.06134143411809473
73,896664.2424,4645729.955,-0.06450120062711184
74,896673.6417,4645729.955,-0.06133108816367888
75,896683.0409,4645729.955,-0.0591967357972466
76,896692.4402,4645729.955,-0.06957195595560162
77,896701.8395,4645729.955,-0.06661908579611775
78,896711.2387,4645729.955,-0.06922467421142398
79,896720.638,4645729.955,-0.05902842767064359
80,896730.0373,4645729.955,-0.0715073416811744
81,896739.4365,4645729.955,-0.017646656170945185
82,896748.8358,4645729.955,-0.05872458814429021
83,896758.235,4645729.955,-0.0573135425034374
84,896767.6343,4645729.955,-0.06484486209019247
85,896203.6786,4645720.555,-0.0826137378183851
86,896213.0778,4645720.555,-0.003836393787766512
87,896222.4771,4645720.555,-0.0639276019934687
88,896231.8764,4645720.555,-0.05855896024241214
89,896241.2756,4645720.555,-0.05702357483000131
90,896250.6749,4645720.555,0.002844221774844502
91,896260.0741,4645720.555,-0.05180840098195133
92,896269.4734,4645720.555,-0.0674543914765236
93,896278.8727,4645720.555,-0.039646238865515326
94,896288.2719,4645720.555,-0.041482454772466315
95,896297.6712,4645720.555,-0.06728433753905488
96,896307.0705,4645720.555,-0.03361899031741905
97,896316.4697,4645720.555,-0.06777604810044341
98,896325.869,4645720.555,-0.04127046806531237
99,896335.2682,4645720.555,-0.059048969118675076
100,896344.6675,4645720.555,-0.0538879700099551
101,896354.0668,4645720.555,0.024756767617410302
102,896363.466,4645720.555,-0.057482941602899296
103,896372.8653,4645720.555,-0.07354362662537162
104,896382.2646,4645720.555,-0.06009363124493111
105,896391.6638,4645720.555,-0.05920576214957568
106,896401.0631,4645720.555,-0.05971633421786837
107,896410.4623,4645720.555,-0.07493814060480852
108,896448.0594,4645720.555,-0.08090882992861909
109,896457.4587,4645720.555,-0.0812496981168826
110,896466.8579,4645720.555,-0.0821913672815276
111,896476.2572,4645720.555,-0.06640596020168793
112,896485.6564,4645720.555,-0.06315619909505499
113,896495.0557,4645720.555,-0.08013567178526249
114,896504.455,4645720.555,-0.07777562807097382
115,896617.2461,4645720.555,-0.07985409475791372
116,896626.6454,4645720.555,-0.037209410745352556
117,896636.0446,4645720.555,-0.07700078266654331
118,896645.4439,4645720.555,-0.06040465833665237
119,896654.8432,4645720.555,-0.06027405085181181
120,896664.2424,4645720.555,-0.07467687872080009
121,896673.6417,4645720.555,-0.0690456558776884
122,896683.0409,4645720.555,-0.05971089672981866
123,896692.4402,4645720.555,-0.0646924003797929
124,896701.8395,4645720.555,-0.06460845059895198
125,896711.2387,4645720.555,-0.05680369741943092
126,896720.638,4645720.555,-0.05758881245425779
127,896730.0373,4645720.555,-0.056819239426460555
128,896739.4365,4645720.555,-0.05456663468574968
129,896748.8358,4645720.555,-0.052077214154876206
130,896758.235,4645720.555,-0.06385336123077578
131,896203.6786,4645711.156,-0.055180244123654576
132,896213.0778,4645711.156,-0.060342495735247914
133,896222.4771,4645711.156,-0.017966408824007796
134,896231.8764,4645711.156,0.04920231921937768
135,896241.2756,4645711.156,-0.055939179459296495
136,896250.6749,4645711.156,-0.043989042029813685
137,896260.0741,4645711.156,-0.02230915024681651
138,896269.4734,4645711.156,-0.0626949239749201
139,896278.8727,4645711.156,-0.047872216197956785
140,896288.2719,4645711.156,-0.04894925479891349
141,896297.6712,4645711.156,-0.049533066061026754
142,896307.0705,4645711.156,-0.06572068046210211
143,896316.4697,4645711.156,-0.06495280842305551
144,896325.869,4645711.156,-0.0077725418978266125
145,896335.2682,4645711.156,-0.0648156787406533
146,896344.6675,4645711.156,-0.04829454239257702
147,896354.0668,4645711.156,-0.03852223108711089
148,896363.466,4645711.156,-0.07000534204877779
149,896372.8653,4645711.156,-0.05551778373355848
150,896382.2646,4645711.156,-0.06700871042729983
151,896391.6638,4645711.156,-0.05417285514178172
152,896401.0631,4645711.156,-0.07270703482720953
153,896410.4623,4645711.156,-0.07358960175006957
154,896438.6601,4645711.156,-0.06236174050332721
155,896448.0594,4645711.156,-0.05844608903065046
156,896457.4587,4645711.156,-0.06741560089489301
157,896466.8579,4645711.156,-0.058773114822224914
158,896476.2572,4645711.156,-0.05951881050071317
159,896485.6564,4645711.156,-0.06028678215183103
160,896495.0557,4645711.156,-0.07793600498890357
161,896504.455,4645711.156,-0.05818685857463163
162,896513.8542,4645711.156,-0.0585278213304824
163,896523.2535,4645711.156,-0.05831914877026989
164,896532.6528,4645711.156,-0.07472816841541102
165,896598.4476,4645711.156,-0.07797469219619968
166,896607.8468,4645711.156,0.06122843331823913
167,896617.2461,4645711.156,-0.05743383709369332
168,896626.6454,4645711.156,-0.062051054187629795
169,896636.0446,4645711.156,-0.05661277272925441
170,896645.4439,4645711.156,-0.004662079654370321
171,896654.8432,4645711.156,-0.0625160399970911
172,896664.2424,4645711.156,-0.07459491696365389
173,896673.6417,4645711.156,-0.055115411602499664
174,896683.0409,4645711.156,-0.0594543520458935
175,896692.4402,4645711.156,-0.05696226350835332
176,896701.8395,4645711.156,-0.06478061001847252
177,896711.2387,4645711.156,-0.0611584340495806
178,896720.638,4645711.156,-0.05970567550072631
179,896730.0373,4645711.156,-0.0705687553637771
180,896739.4365,4645711.156,-0.07223971836038762
181,896748.8358,4645711.156,-0.0678647543446767
182,896758.235,4645711.156,-0.06770300010039781
183,896194.2793,4645701.757,-0.0729074168991527
184,896203.6786,4645701.757,-0.0691006536954305
185,896213.0778,4645701.757,-0.007843913207234487
186,896222.4771,4645701.757,-0.07089756124345703
187,896231.8764,4645701.757,-0.007286624703423505
188,896241.2756,4645701.757,0.019712513864631187
189,896250.6749,4645701.757,-0.046383806052844534
190,896260.0741,4645701.757,-0.04220931734109068
191,896269.4734,4645701.757,-0.061384540039412905
192,896278.8727,4645701.757,-0.05316148180955349
193,896288.2719,4645701.757,-0.046157472967227275
194,896297.6712,4645701.757,-0.0618509791710396
195,896307.0705,4645701.757,-0.06259614000431385
196,896316.4697,4645701.757,-0.05140812737666023
197,896325.869,4645701.757,-0.06334615300174473
198,896335.2682,4645701.757,-0.04944076453025131
199,896344.6675,4645701.757,-0.063911989310306
200,896354.0668,4645701.757,-0.06708089173840198
201,896363.466,4645701.757,-0.06829096896441211
202,896372.8653,4645701.757,-0.0536525223521539
