,Predicted,Actual
0,0.3622666666666667,0.376
1,0.3790266666666666,0.401
2,0.3899066666666667,0.431
3,0.38219333333333333,0.349
4,0.3614866666666667,0.303
5,0.3253733333333333,0.355
6,0.3723066666666667,0.39
7,0.36724666666666667,0.379
8,0.33965999999999996,0.271
9,0.37187333333333333,0.381
10,0.37738666666666665,0.398
11,0.3716,0.25
12,0.37353333333333333,0.382
13,0.37416,0.462
14,0.3403466666666667,0.273
15,0.37459333333333333,0.375
16,0.36732666666666663,0.362
17,0.3815266666666667,0.387
18,0.3455333333333333,0.377
19,0.37250666666666665,0.413
