,Predicted,Actual
0,0.36672517828658224,0.376
1,0.40048861483431475,0.401
2,0.38485106819065573,0.431
3,0.38714920732520247,0.349
4,0.35459326316294326,0.303
5,0.32941777488703144,0.355
6,0.36588685253656045,0.39
7,0.3598574626222128,0.379
8,0.35744462765048435,0.271
9,0.4250068961167144,0.381
10,0.383887432113462,0.398
11,0.3674710612616962,0.25
12,0.37829075875508705,0.382
13,0.39771734696844574,0.462
14,0.28074590849192954,0.273
15,0.3820320147083477,0.375
16,0.3656478564253431,0.362
17,0.41243320943864886,0.387
18,0.33174738652592484,0.377
19,0.3721432381552265,0.413
