,Predicted,Actual
0,0.35489496424693234,0.376
1,0.36680509036879017,0.401
2,0.3883922450908924,0.431
3,0.39864743356250687,0.349
4,0.3556332699344234,0.303
5,0.36222792876698695,0.355
6,0.3748436404009795,0.39
7,0.36794496268898974,0.379
8,0.32220714670839834,0.271
9,0.3661486662042213,0.381
10,0.3612561457093742,0.398
11,0.38923668808910333,0.25
12,0.3788422390897218,0.382
13,0.3770370211936199,0.462
14,0.29013736019651126,0.273
15,0.38899962150006584,0.375
16,0.36292948783211976,0.362
17,0.38367871914791457,0.387
18,0.33801540891270593,0.377
19,0.39315814737862964,0.413
