,Predicted,Actual
0,0.3624081679734967,0.376
1,0.35828257497702726,0.401
2,0.36309798584679776,0.431
3,0.3655924008781432,0.349
4,0.3667977528575908,0.303
5,0.36090064766068924,0.355
6,0.3673070091805717,0.39
7,0.35295832289560825,0.379
8,0.3634289167730106,0.271
9,0.37981876946895005,0.381
10,0.3691711069393325,0.398
11,0.12130054046689179,0.25
12,0.3809750034244297,0.382
13,0.41349748276015585,0.462
14,0.35585233694871476,0.273
15,0.39275558977735936,0.375
16,0.36668275649798354,0.362
17,0.3672392945641857,0.387
18,0.3601017020643922,0.377
19,0.35738799133279225,0.413
