,Predicted,Actual
0,0.35574923964601557,0.376
1,0.36276016075988804,0.401
2,0.368925762923318,0.431
3,0.3836335879418909,0.349
4,0.35828603590423386,0.303
5,0.3240149784557363,0.355
6,0.3582413281906556,0.39
7,0.35352730275706545,0.379
8,0.354208604485854,0.271
9,0.38770293964401276,0.381
10,0.38130248415354484,0.398
11,0.34732958048492885,0.25
12,0.38665401287266354,0.382
13,0.3815361849078431,0.462
14,0.3320686537537373,0.273
15,0.37315529746260373,0.375
16,0.36428100076310715,0.362
17,0.38946674627347533,0.387
18,0.33934434752589426,0.377
19,0.35589947487596946,0.413
