,Predicted,Actual
0,0.3578641956699835,0.376
1,0.35909517516837175,0.401
2,0.36211544352633807,0.431
3,0.36202588890845416,0.349
4,0.36778593403969134,0.303
5,0.3515463189816718,0.355
6,0.3626764303282422,0.39
7,0.3539071488855016,0.379
8,0.35688367516590846,0.271
9,0.37505462645896054,0.381
10,0.3633834485280883,0.398
11,0.17599947999750343,0.25
12,0.37952571336121066,0.382
13,0.41512730266218806,0.462
14,0.3606035143177538,0.273
15,0.37517659438627354,0.375
16,0.3626813751590353,0.362
17,0.3669224558072256,0.387
18,0.3588154771964533,0.377
19,0.3534529337598667,0.413
