,Predicted,Actual
0,0.37090375843113327,0.376
1,0.38036244153278426,0.401
2,0.40928990980748053,0.431
3,0.40264150099609025,0.349
4,0.3511232009105462,0.303
5,0.3571005577119915,0.355
6,0.36842928650759627,0.39
7,0.35844116598847814,0.379
8,0.33191039031206393,0.271
9,0.3653705588292069,0.381
10,0.38790830453453357,0.398
11,0.3209781720228596,0.25
12,0.3800543326012573,0.382
13,0.3983953215599066,0.462
14,0.2535634157593571,0.273
15,0.3753384285282671,0.375
16,0.36262226099333683,0.362
17,0.3855476000954215,0.387
18,0.3292115470773781,0.377
19,0.36685494446770056,0.413
