,Predicted,Actual
0,0.35536654597797646,0.376
1,0.37764508926206297,0.401
2,0.4098371546782819,0.431
3,0.39189245777344156,0.349
4,0.3534312214476122,0.303
5,0.3444007205851143,0.355
6,0.3591115772090994,0.39
7,0.3628034972649538,0.379
8,0.33037068023195604,0.271
9,0.38993610510459387,0.381
10,0.3890624542291923,0.398
11,0.3572374819492046,0.25
12,0.3822684116287846,0.382
13,0.386927180576518,0.462
14,0.22327830294277887,0.273
15,0.37322887801575044,0.375
16,0.3717583335483978,0.362
17,0.3948699692369405,0.387
18,0.35754586111668124,0.377
19,0.37513543778432823,0.413
