,Predicted,Actual
0,0.3453722774151632,0.376
1,0.3755814515990205,0.401
2,0.37760007901360915,0.431
3,0.3663062024260454,0.349
4,0.3373212183080393,0.303
5,0.3350909714688988,0.355
6,0.3702824148583022,0.39
7,0.3647925761256172,0.379
8,0.3418302248354878,0.271
9,0.38551832282692367,0.381
10,0.36144405662908496,0.398
11,0.3479069463873301,0.25
12,0.37820854667279813,0.382
13,0.3630537787710812,0.462
14,0.24505242064807248,0.273
15,0.37658899247486544,0.375
16,0.37064444700781596,0.362
17,0.4215792476423329,0.387
18,0.34888585266802513,0.377
19,0.4230293044158285,0.413
