,Predicted,Actual
0,0.370666524479823,0.376
1,0.41053312948067167,0.401
2,0.3894735451683151,0.431
3,0.3862269787495491,0.349
4,0.356751983764979,0.303
5,0.31190300870191623,0.355
6,0.3721208065935159,0.39
7,0.3613985641380534,0.379
8,0.34330737552942814,0.271
9,0.41893745195420945,0.381
10,0.38149100322425156,0.398
11,0.36012151348227217,0.25
12,0.3692414534066503,0.382
13,0.4006917503688503,0.462
14,0.27248572721990405,0.273
15,0.3996539140265647,0.375
16,0.3669097445745277,0.362
17,0.4115889266305074,0.387
18,0.32757609243550484,0.377
19,0.37389087152497,0.413
