,Predicted,Actual
0,0.34131333333333336,0.376
1,0.3695333333333333,0.401
2,0.3747666666666667,0.431
3,0.38258666666666663,0.349
4,0.37176666666666663,0.303
5,0.3131866666666667,0.355
6,0.39098666666666665,0.39
7,0.37292,0.379
8,0.34604666666666667,0.271
9,0.34842,0.381
10,0.38011333333333336,0.398
11,0.36921333333333334,0.25
12,0.36961333333333335,0.382
13,0.38159333333333334,0.462
14,0.2559133333333334,0.273
15,0.38419333333333333,0.375
16,0.38802,0.362
17,0.38517999999999997,0.387
18,0.3313,0.377
19,0.37335999999999997,0.413
