,Predicted,Actual
0,0.3736069470970371,0.376
1,0.36878120974541617,0.401
2,0.37779691025362844,0.431
3,0.37623630781963396,0.349
4,0.36623547813687984,0.303
5,0.3172501168636094,0.355
6,0.37507865996327583,0.39
7,0.3772566333642319,0.379
8,0.33875918116931203,0.271
9,0.37286936556809985,0.381
10,0.37454498295683575,0.398
11,0.36262523094880506,0.25
12,0.3703694443509079,0.382
13,0.38133033636949204,0.462
14,0.24281601030616867,0.273
15,0.3863390668987073,0.375
16,0.36953540415306085,0.362
17,0.37227597552570196,0.387
18,0.3541805475175366,0.377
19,0.39773192465394347,0.413
