,Predicted,Actual
0,0.3721909114050046,0.376
1,0.3652860654678123,0.401
2,0.36182842200868665,0.431
3,0.3677939571184431,0.349
4,0.36242668065882666,0.303
5,0.3743073248116811,0.355
6,0.3662902771444883,0.39
7,0.3706718942220405,0.379
8,0.37174029382193113,0.271
9,0.35490299941267256,0.381
10,0.3677943105049175,0.398
11,0.3000468335002611,0.25
12,0.3806125244019246,0.382
13,0.41349748276015585,0.462
14,0.3624576462868763,0.273
15,0.3844686511387397,0.375
16,0.3660725900400561,0.362
17,0.36163101597804187,0.387
18,0.367039294013849,0.377
19,0.37330832198719227,0.413
