,Predicted,Actual
0,0.3539733333333333,0.376
1,0.36690666666666666,0.401
2,0.3847066666666667,0.431
3,0.3821466666666667,0.349
4,0.35656,0.303
5,0.2761933333333335,0.355
6,0.39261999999999997,0.39
7,0.35086666666666666,0.379
8,0.32286,0.271
9,0.3845799999999999,0.381
10,0.38332666666666665,0.398
11,0.31607999999999997,0.25
12,0.38792000000000004,0.382
13,0.3831466666666667,0.462
14,0.29063333333333335,0.273
15,0.38161333333333336,0.375
16,0.3930133333333333,0.362
17,0.39271999999999996,0.387
18,0.32955999999999996,0.377
19,0.40481333333333336,0.413
