,Predicted,Actual
0,0.3602079361034762,0.376
1,0.38015586421464026,0.401
2,0.36204625187717154,0.431
3,0.3955073198368613,0.349
4,0.35708695657259665,0.303
5,0.3352919776349565,0.355
6,0.36114701643384095,0.39
7,0.36267043967856105,0.379
8,0.3436294605199818,0.271
9,0.3878298278578718,0.381
10,0.39268025909283766,0.398
11,0.3264469825320093,0.25
12,0.38045232770916243,0.382
13,0.3879845726229398,0.462
14,0.3045135540861227,0.273
15,0.36986093198679715,0.375
16,0.3580873599850627,0.362
17,0.398915867985848,0.387
18,0.33763230871586475,0.377
19,0.3795766550875617,0.413
