,Predicted,Actual
0,0.35489568461637416,0.376
1,0.38487779079476103,0.401
2,0.41286999947526615,0.431
3,0.3775015178617926,0.349
4,0.3314858864483958,0.303
5,0.33819715599772415,0.355
6,0.36064215478149714,0.39
7,0.36033414242643763,0.379
8,0.3236644046471568,0.271
9,0.3831741177247884,0.381
10,0.3779583935506549,0.398
11,0.32092304983187214,0.25
12,0.3800543326012573,0.382
13,0.3983953215599066,0.462
14,0.2637155603618152,0.273
15,0.4013694116570538,0.375
16,0.3504966678504114,0.362
17,0.3881070788721974,0.387
18,0.3640736694787561,0.377
19,0.36321993301934496,0.413
