,Predicted,Actual
0,0.3729824263147909,0.376
1,0.3576182937997727,0.401
2,0.4069315915153679,0.431
3,0.37256419669435287,0.349
4,0.3716202025178867,0.303
5,0.3159832424067719,0.355
6,0.35131215709736713,0.39
7,0.36257470271123354,0.379
8,0.2990000072096179,0.271
9,0.3849031193504248,0.381
10,0.38168269917050984,0.398
11,0.33392142155255977,0.25
12,0.38269890081488506,0.382
13,0.37799997368634264,0.462
14,0.22262442371264995,0.273
15,0.38700905759085613,0.375
16,0.35709238967200657,0.362
17,0.39840569282739363,0.387
18,0.35338784895973524,0.377
19,0.40486428638790445,0.413
