,Predicted,Actual
0,0.34349999999999997,0.376
1,0.39633999999999997,0.401
2,0.40585333333333334,0.431
3,0.3894533333333333,0.349
4,0.3544466666666667,0.303
5,0.34120666666666666,0.355
6,0.3253466666666666,0.39
7,0.3445,0.379
8,0.33436666666666665,0.271
9,0.37094,0.381
10,0.36546,0.398
11,0.31787333333333334,0.25
12,0.3136266666666667,0.382
13,0.41259333333333326,0.462
14,0.3514,0.273
15,0.3117866666666667,0.375
16,0.3253466666666666,0.362
17,0.3489999999999999,0.387
18,0.3383733333333333,0.377
19,0.39633999999999997,0.413
